Word,Meaning,Sentence,flag
Apple,"An apple is a round fruit with smooth green, yellow, or red skin and firm white flesh.",a large garden with apple trees in it.,
Ball,"A ball is a round object that is used in games such as tennis, baseball, football, basketball, and cricket.",a tennis ball. ,
Cat,A cat is a furry animal that has a long tail and sharp claws.,"
a wild animal of the cat family",
Dog,A dog is a very common four-legged animal that is often kept by people as a pet or to guard or hunt.,The dog growled again. ,
Elephant,"An elephant is a very large animal with a long, flexible nose called a trunk, which it uses to pick up things.","Elephants live in Africa, India, and other parts of Asia.",
Fox,"A fox is a wild animal which looks like a dog and has reddish-brown fur, a pointed face and ears, and a thick tail.",Foxes eat smaller animals.,
Giraff,"A giraffe is a large African animal with a very long neck, long legs, and dark patches on its body.",There is a giraffe in the zoo.,
Hen,A hen is a female chicken.,People often keep hens in order to eat them or sell their eggs.,
India,A south east Asian country,India has the second largest population in the world.,
Jacket,A jacket is a short coat with long sleeves.,I bought a jacket last week.,
